# gaia,tmass,pmra,pmdec,d,plx,m_h,m_h_err,alpha_m,alpha_m_err
2738373501849706752,00045576+0104489,163.518352083,-74.7271390462,331.980112695,3.01222862984,-0.842539012432,0.0171272046864,0.0278470013291,0.0169192813337
2365649471033828096,00054598-1940128,-24.9286976552,-178.209752961,463.853717447,2.15585207661,-1.27406156063,0.0188812464476,0.21850900352,0.0205231569707
2422973128223412224,00234747-1404550,82.5716919204,-253.623548489,238.716442502,4.18907047004,-1.46176159382,0.0216098632663,0.216508999467,0.0234180390835
2547406061730827008,00282185+0145026,91.7071386606,-23.1713778863,666.724905669,1.49986897369,-0.992641568184,0.0214823018759,0.291568994522,0.0210398323834
2543364875460803584,00380791+0040359,86.8693627992,-14.2631693195,509.155182663,1.96403775126,-0.589769005775,0.0209549125284,0.234874993563,0.0193313285708
2543114049370748288,00411285+0017050,115.617252314,-1.36360372061,398.250500001,2.51098240931,-0.841709017754,0.0184375494719,0.286374986172,0.0174885503948
2550214862966244864,00414249+0152548,102.827509319,-150.295255225,315.098672552,3.17360905364,-0.790609002113,0.0167238004506,0.157384991646,0.019024733454
2550214862966244864,00414249+0152548,102.827509319,-150.295255225,315.098672552,3.17360905364,-0.709019005299,0.0204848274589,0.106305003166,0.0217818859965
2550214862966244864,00414249+0152548,102.827509319,-150.295255225,315.098672552,3.17360905364,-0.790609002113,0.0167238004506,0.157384991646,0.019024733454
2550214862966244864,00414249+0152548,102.827509319,-150.295255225,315.098672552,3.17360905364,-0.709019005299,0.0204848274589,0.106305003166,0.0217818859965
2550420510295875712,00425066+0240086,77.1054620691,-51.8507506182,807.533125426,1.23833929348,-1.43536150455,0.0340696498752,0.210428997874,0.0333193317056
2550420510295875712,00425066+0240086,77.1054620691,-51.8507506182,807.533125426,1.23833929348,-1.48186159134,0.0295651238412,0.216029003263,0.0303381457925
2550420510295875712,00425066+0240086,77.1054620691,-51.8507506182,807.533125426,1.23833929348,-1.43536150455,0.0340696498752,0.210428997874,0.0333193317056
2550420510295875712,00425066+0240086,77.1054620691,-51.8507506182,807.533125426,1.23833929348,-1.48186159134,0.0295651238412,0.216029003263,0.0303381457925
2551608017213470464,00545307+0325274,79.5559819138,-13.8257847114,806.25729007,1.2402988628,-0.61741900444,0.0178343057632,0.225964993238,0.0164502710104
2580743146908718080,01001184+0812508,51.6289767901,-1.01069759451,939.741586361,1.06412232311,-0.293458998203,0.0104468250647,0.0518940016627,0.00653394684196
2580048775251306880,01204197+1012031,8.49778912768,-67.735821383,713.208196979,1.40211512464,-0.392221540213,0.00982554350048,0.197568997741,0.0101163135841
5139440986896483328,01485167-1906240,87.8847072006,-2.66732011683,888.192487521,1.12588207404,-1.0163615942,0.0397578813136,0.147459000349,0.0326285511255
